"conflictID","ccode1","countryname1","ccode2","countryname2","direct","startyear","startyear_int","caplong_d","caplat_d","caplong_t","caplat_t","centlong_t","centlat_t"
192,540,"Angola",484,"Congo - Brazzaville",1,1991,1994,13.23444,-8.83833,15.28472,-4.25917,15.2258028822464,-0.839291558892186
192,540,"Angola",490,"Congo - Kinshasa",0,1991,1991,13.23444,-8.83833,15.315,-4.32972,23.6487459139095,-2.86426146082958
193,373,"Azerbaijan",371,"Armenia",1,1991,1991,49.882221,40.39528,44.513611,40.18111,44.9555757069532,40.2843749628115
194,346,"Bosnia & Herzegovina",345,"Yugoslavia",0,1992,1992,18.383329,43.85,20.46806,44.81861,18.8008280483128,44.1551083344732
195,344,"Croatia",345,"Yugoslavia",1,1992,1992,15.981919,45.81501,20.46806,44.81861,18.8008280483128,44.1551083344732
196,651,"Egypt",625,"Sudan",1,1981,1993,31.25,30.05,32.534168,15.58806,30.031564485525,13.7607574678782
196,651,"Egypt",630,"Iran",0,1981,1993,31.25,30.05,51.42445,35.67194,54.4662132478415,32.5233132592506
198,372,"Georgia",365,"Russia",0,1991,2008,44.790829,41.725,37.615551,55.75222,95.7898180543012,65.9928666591719
200,702,"Tajikistan",700,"Afghanistan",1,1992,1992,68.773888,38.56,69.183327,34.51667,65.9479387631064,33.8224098349795
203,346,"Bosnia & Herzegovina",344,"Croatia",0,1992,1993,18.383329,43.85,15.981919,45.81501,16.4107157958619,45.0468322723032
206,365,"Russia",372,"Georgia",0,1994,2002,37.615551,55.75222,44.790829,41.725,43.5342262085249,42.1807648923055
207,679,"Yemen",670,"Saudi Arabia",0,1994,1994,44.18333,15.28333,46.772781,24.64083,44.7135091429214,23.9837375995516
214,484,"Congo - Brazzaville",220,"France",0,1993,1997,15.28472,-4.25917,2.333333,48.86666,2.57606975321794,46.5158176983467
214,484,"Congo - Brazzaville",483,"Chad",0,1993,1997,15.28472,-4.25917,15.21667,11.71667,18.6543798638596,15.30272084433
214,484,"Congo - Brazzaville",540,"Angola",0,1993,1997,15.28472,-4.25917,13.23444,-8.83833,17.5388800642708,-12.2725323412842
